species,common_name
Panax trifolius,dwarf ginseng
Panicum amarum,Bitter Panicgrass
Panicum capillare,witch grass
Panicum dichotomiflorum,Smooth Witchgrass
Panicum virgatum,switchgrass
Papaver atlanticum,Atlas Poppy
Papaver orientale,Oriental Poppy
Papaver rhoeas,common poppy
Papaver somniferum,opium poppy
Parietaria pensylvanica,Pennsylvania pellitory
Parnassia glauca,fen grass of Parnassus
Parogonum ciliinode,fringed black bindweed
Paronychia canadensis,forked nailwort
Parthenium integrifolium,wild quinine
Parthenocissus inserta,thicket creeper
Parthenocissus quinquefolia,Virginia creeper
Parthenocissus tricuspidata,Japanese creeper
Paspalum laeve,Field Paspalum
Paspalum setaceum,Thin Paspalum
Paspalum thunbergii,
Passiflora incarnata,purple passionflower
Pastinaca sativa,wild parsnip
Patis racemosa,black-fruit mountain-ricegrass
Paulownia tomentosa,princess tree
Pedicularis canadensis,Canadian lousewort
Pedicularis lanceolata,swamp lousewort
Pellaea atropurpurea,purple-stem cliffbrake
Pellia epiphylla,common pellia
Pellia neesiana,Ring Pellia
Peltandra virginica,Green Arrow Arum
Penstemon digitalis,foxglove beardtongue
Penstemon hirsutus,hairy beardtongue
Penstemon pallidus,pale beardtongue
Penthorum sedoides,ditch stonecrop
Perilla frutescens,beefsteak plant
Persicaria amphibia,water smartweed
Persicaria arifolia,halberd-leaved tearthumb
Persicaria extremiorientalis,Far Eastern smartweed
Persicaria filiformis,Asian jumpseed
Persicaria hydropiper,waterpepper
Persicaria hydropiperoides,swamp smartweed
Persicaria lapathifolia,pale smartweed
Persicaria longiseta,low smartweed
Persicaria maculosa,spotted lady's thumb
Persicaria orientalis,kiss-me-over-the-garden-gate
Persicaria pensylvanica,pinkweed
Persicaria perfoliata,mile-a-minute weed
Persicaria punctata,Dotted Smartweed
Persicaria sagittata,arrow-leaved tearthumb
Persicaria virginiana,American jumpseed
Petasites hybridus,Common Butterbur
Petasites japonicus,Giant Butterbur
Petrorhagia prolifera,Proliferous Pink
Petrorhagia saxifraga,Tunicflower
Petrosedum orientale,
Petrosedum rupestre,Reflexed Stonecrop
Petroselinum crispum,garden parsley
Petunia integrifolia,violetflower petunia
Phacelia campanularia,desert bluebells
Phacelia tanacetifolia,Lacy phacelia
Phaeoceros carolinianus,Carolina hornwort
Phalaris arundinacea,reed canary grass
Phedimus ellacombeanus,yellow stonecrop
Phedimus kamtschaticus,Kamchatka Stonecrop
Phedimus spurius,Caucasian Stonecrop
Phegopteris connectilis,long beech fern
Phegopteris hexagonoptera,broad beech fern
Phellodendron amurense,Amur Corktree
Philadelphus coronarius,Sweet Mock Orange
Philadelphus inodorus,Scentless Mock Orange
Philonotis fontana,Fountain Apple-moss
Phleum pratense,Timothy grass
Phlox divaricata,blue phlox
Phlox paniculata,fall phlox
Phlox stolonifera,creeping phlox
Phlox subulata,moss phlox
Phragmites australis,common reed
Phryma leptostachya,American lopseed
Phyllostachys aurea,fishpole bamboo
Phyllostachys aureosulcata,Yellow groove bamboo
Physalis grisea,Strawberry Groundcherry
Physalis heterophylla,clammy groundcherry
Physalis longifolia,long-leaved groundcherry
Physalis peruviana,Cape gooseberry
Physalis philadelphica,Large-flowered Tomatillo
Physcomitrium pyriforme,common bladder moss
Physocarpus opulifolius,common ninebark
Physostegia virginiana,obedient plant
Phytolacca americana,American pokeweed
Picea abies,Norway spruce
Picea glauca,white spruce
Picea mariana,black spruce
Picea orientalis,Oriental spruce
Picea pungens,blue spruce
Picea rubens,red spruce
Pieris floribunda,mountain andromeda
Pieris japonica,Japanese andromeda
Pilea fontana,springs clearweed
Pilea microphylla,Artillery Plant
Pilea pumila,Canada clearweed
Pilosella aurantiaca,orange hawkweed
Pilosella caespitosa,meadow hawkweed
Pilosella officinarum,mouse-eared hawkweed
Pilosella piloselloides,smooth hawkweed
Pinellia ternata,Crowdipper
Pinus nigra,black pine
Pinus resinosa,red pine
Pinus rigida,pitch pine
Pinus strobus,eastern white pine
Pinus sylvestris,Scots pine
Pinus thunbergii,Japanese black pine
Pinus virginiana,Virginia pine
Piptochaetium avenaceum,Blackseed Needlegrass
Pistia stratiotes,Water Lettuce
Pisum sativum,Common Pea
Pityopsis falcata,Sickleleaf Silk-grass
Plagiochila porelloides,lesser featherwort
Plagiomnium ciliare,Wavy-leaf Moss
Plagiomnium cuspidatum,Woodsy Thyme-moss
Plagiomnium ellipticum,Marsh Thyme-moss
Plagiothecium laetum,Bright Silk-moss
Plantago arenaria,Branched Plantain
Plantago aristata,bracted plantain
Plantago lanceolata,ribwort plantain
Plantago major,greater plantain
Plantago maritima,Sea Plantain
Plantago rugelii,American plantain
Plantago virginica,dwarf plantain
Platanthera aquilonis,north wind bog orchid
Platanthera blephariglottis,White-fringed Orchid
Platanthera ciliaris,orange-fringed orchid
Platanthera clavellata,small green wood orchid
Platanthera flava,pale green orchid
Platanthera grandiflora,Greater Purple Fringed Orchid
Platanthera lacera,ragged fringed orchid
Platanthera psycodes,Lesser Purple Fringed Orchid
Platanus occidentalis,American sycamore
Platycodon grandiflorus,balloon flower
Platygyrium repens,Flat-brocade Moss
Pleuridium subulatum,Awl-leaved Earth-moss
Pleurozium schreberi,Red-stemmed Feather Moss
Pluchea odorata,marsh fleabane
Poa alsodes,Grove Meadow Grass
Poa annua,Annual Meadow-grass
Poa bulbosa,Bulbous Bluegrass
Poa nemoralis,Wood Meadow-grass
Poa pratensis,Smooth Meadow-grass
Podophyllum peltatum,mayapple
Podostemum ceratophyllum,Threadfoot
Pogonatum pensilvanicum,Algal Haircap Moss
Pogonia ophioglossoides,Rose Pogonia
Pohlia wahlenbergii,Wahlenberg's Nodding Moss
Polemonium reptans,Jacob's ladder
Polygaloides paucifolia,fringed polygala
Polygonatum biflorum,smooth Solomon's seal
Polygonatum multiflorum,Solomon's-seal
Polygonatum pubescens,hairy Solomon's-seal
Polygonella articulata,Coastal jointweed
Polygonum aviculare,Prostrate Knotweed
Polygonum tenue,Slender Knotweed
Polymnia canadensis,leafcup
Polypodium appalachianum,Appalachian rockcap fern
Polypodium virginianum,rock polypody
Polystichum acrostichoides,Christmas fern
Polystichum polyblepharon,Japanese tassel fern
Polytrichum commune,Common Haircap Moss
Polytrichum juniperinum,juniper haircap moss
Polytrichum ohioense,Ohio Haircap Moss
Polytrichum piliferum,bristly haircap moss
Pontederia cordata,pickerelweed
Pontederia crassipes,common water hyacinth
Populus alba,white poplar
Populus balsamifera,balsam poplar
Populus deltoides,Eastern Cottonwood
Populus grandidentata,bigtooth aspen
Populus heterophylla,Swamp Cottonwood
Populus tremuloides,quaking aspen
Porella pinnata,Pinnate Scalewort
Porella platyphylla,Wall Scalewort
Portulaca grandiflora,moss rose
Portulaca oleracea,Common Purslane
Potamogeton alpinus,Northern Pondweed
Potamogeton amplifolius,Broad-leaved Pondweed
Potamogeton berchtoldii,Berchtold's pondweed
Potamogeton bicupulatus,snailseed pondweed
Potamogeton crispus,Curly-leaf Pondweed
Potamogeton epihydrus,ribbon-leaved pondweed
Potamogeton foliosus,leafy pondweed
Potamogeton natans,floating-leaved pondweed
Potamogeton nodosus,Longleaf Pondweed
Potamogeton oakesianus,Oakes' Pondweed
Potamogeton obtusifolius,Bluntleaf Pondweed
Potamogeton perfoliatus,Perfoliate Pondweed
Potamogeton praelongus,white-stemmed pondweed
Potamogeton pulcher,Spotted Pondweed
Potamogeton richardsonii,Richardson's pondweed
Potamogeton robbinsii,robbins' pondweed
Potamogeton spirillus,Spiral Pondweed
Potamogeton zosteriformis,eel-grass pondweed
Potentilla argentea,Silvery Cinquefoil
Potentilla canadensis,dwarf cinquefoil
Potentilla hebiichigo,Lesser Mock-strawberry
Potentilla indica,mock strawberry
Potentilla norvegica,rough cinquefoil
Potentilla recta,sulphur cinquefoil
Potentilla simplex,common cinquefoil
Pourthiaea villosa,Christmas berry
Primula japonica,Japanese Primrose
Primula meadia,eastern shooting star
Primula veris,Cowslip
Primula vulgaris,Primrose
Proserpinaca palustris,marsh mermaidweed
Proserpinaca pectinata,combleaf mermaidweed
Prunella vulgaris,common selfheal
Prunus americana,American plum
Prunus avium,wild cherry
Prunus cerasifera,Cherry-plum
Prunus domestica,Plum
Prunus maritima,Beach Plum
Prunus padus,bird cherry
Prunus pendula,Weeping Cherry
Prunus pensylvanica,fire cherry
Prunus persica,Peach
Prunus serotina,black cherry
Prunus spinosa,Blackthorn
Prunus susquehanae,Susquehana Sandcherry
Prunus tomentosa,Nanking Cherry
Prunus virginiana,chokecherry
Psammophiliella muralis,Low Baby's-breath
Pseudanomodon attenuatus,tree-skirt moss
Pseudo-fumaria alba,Pale Corydalis
Pseudo-fumaria lutea,Yellow Corydalis
Pseudobryum cinclidioides,River Thyme Moss
Pseudognaphalium macounii,macoun's everlasting
Pseudognaphalium obtusifolium,sweet everlasting
Pseudosasa japonica,Arrow Bamboo
Pseudotsuga menziesii,Douglas-fir
Ptelea trifoliata,common hoptree
Pteridium aquilinum,common bracken
Ptilidium ciliare,Northern Naugehyde Liverwort
Ptilidium pulcherrimum,Tree Fringewort
Ptilimnium capillaceum,herbwilliam
Ptilium crista-castrensis,Ostrich-plume Moss
Ptychomitrium incurvum,Incurved Grizzled Moss
Ptychostomum capillare,Capillary Thread-moss
Pueraria montana,kudzu
Pulmonaria officinalis,Lungwort
Pulmonaria saccharata,Bethlehem-sage
Puschkinia scilloides,striped squill
Pycnanthemum incanum,Hoary Mountainmint
Pycnanthemum muticum,Clustered Mountainmint
Pycnanthemum tenuifolium,narrowleaf mountainmint
Pycnanthemum verticillatum,Whorled Mountain Mint
Pycnanthemum virginianum,Virginia mountain mint
Pyrola americana,American wintergreen
Pyrola chlorantha,green-flowered wintergreen
Pyrola elliptica,shinleaf
Pyrus calleryana,Callery pear
Pyrus communis,Common Pear
Quercus alba,white oak
Quercus bicolor,swamp white oak
Quercus coccinea,scarlet oak
Quercus ilicifolia,bear oak
Quercus macrocarpa,bur oak
Quercus montana,chestnut oak
Quercus muehlenbergii,chinkapin oak
Quercus palustris,pin oak
Quercus phellos,willow oak
Quercus prinoides,dwarf chinkapin oak
Quercus robur,English oak
Quercus rubra,northern red oak
Quercus stellata,post oak
Quercus velutina,black oak
Rabelera holostea,greater stitchwort
Radula complanata,Flat-leaved Scalewort
Ranunculus abortivus,small-flowered buttercup
Ranunculus acris,meadow buttercup
Ranunculus bulbosus,bulbous buttercup
Ranunculus caricetorum,fen crowfoot
Ranunculus fascicularis,Early Buttercup
Ranunculus flabellaris,yellow water-crowfoot
Ranunculus micranthus,rock buttercup
Ranunculus pensylvanicus,Bristly Crowfoot
Ranunculus recurvatus,Hooked buttercup
Ranunculus repens,Creeping buttercup
Ranunculus sceleratus,cursed crowfoot
Raphanus raphanistrum,Wild radish
Ratibida columnifera,upright prairie coneflower
Ratibida pinnata,grey-headed coneflower
Reboulia hemisphaerica,Hemisphaeric Liverwort
Reynoutria compacta,Dwarf Knotweed
Reynoutria japonica,Japanese knotweed
Reynoutria sachalinensis,Giant Knotweed
Rhamnus alnifolia,Alderleaf Buckthorn
Rhamnus cathartica,common buckthorn
Rheum rhabarbarum,Rhubarb
Rhexia virginica,Virginia meadowbeauty
Rhinanthus minor,Yellow Rattle
Rhizomnium punctatum,Dotted Thyme-moss
Rhodobryum ontariense,Ontario rhodobryum moss
Rhododendron calendulaceum,Flame Azalea
Rhododendron canadense,Rhodora
Rhododendron catawbiense,Catawba Rhododendron
Rhododendron groenlandicum,Bog Labrador Tea
Rhododendron maximum,great rhododendron
Rhododendron periclymenoides,Pinxter Flower
Rhododendron prinophyllum,early azalea
Rhododendron simsii,Red Azalea
Rhododendron viscosum,swamp azalea
Rhodotypos scandens,jetbead
Rhus aromatica,fragrant sumac
Rhus copallinum,shining sumac
Rhus glabra,smooth sumac
Rhus typhina,staghorn sumac
Rhynchospora alba,white beak-sedge
Rhynchospora capitellata,brownish beaked-rush
Rhynchospora macrostachya,Tall Beakrush
Ribes americanum,American Black Currant
Ribes cynosbati,prickly gooseberry
Ribes nigrum,Blackcurrant
Ribes rubrum,Red Currant
Riccardia multifida,Comb Liverwort
Riccia fluitans,Floating Crystalwort
Ricciocarpos natans,fringed heartwort
Ricinus communis,castor bean
Robinia hispida,Bristly locust
Robinia pseudoacacia,black locust
Robinia viscosa,Clammy Locust
Rorippa palustris,Bog Yellowcress
Rorippa sylvestris,Creeping Yellowcress
Rosa canina,Dog-rose
Rosa carolina,Carolina rose
Rosa luciae,Memorial Rose
Rosa multiflora,multiflora rose
Rosa palustris,swamp rose
Rosa rubiginosa,Sweet-brier
Rosa rugosa,rugosa rose
Rosa setigera,climbing prairie rose
Rosa virginiana,Virginian Rose
Rotala ramosior,Toothcup
Rubus allegheniensis,Allegheny blackberry
Rubus alumnus,Old Field Blackberry
Rubus cuneifolius,sand blackberry
Rubus dalibarda,dewdrop
Rubus hispidus,swamp dewberry
Rubus idaeus,red raspberry
Rubus laciniatus,Cutleaf Blackberry
Rubus occidentalis,black raspberry
Rubus odoratus,purple-flowered raspberry
Rubus phoenicolasius,wineberry
Rubus pubescens,dwarf raspberry
Rubus rosa,Rose Blackberry
Rubus setosus,Small Bristleberry
Rudbeckia amplexicaulis,clasping coneflower
Rudbeckia fulgida,orange coneflower
Rudbeckia hirta,black-eyed Susan
Rudbeckia laciniata,cutleaf coneflower
Rudbeckia subtomentosa,sweet black-eyed Susan
Rudbeckia triloba,brown-eyed Susan
Ruellia humilis,hairy ruellia
Rumex acetosa,Common Sorrel
Rumex acetosella,Sheep's sorrel
Rumex britannica,Greater Water Dock
Rumex crispus,curled dock
Rumex obtusifolius,broad-leaved dock
Rumex sanguineus,Wood Dock
Rumex verticillatus,swamp dock
Ruta graveolens,Rue
Sabatia stellaris,marsh pink
Sagina japonica,Japanese Pearlwort
Sagina procumbens,Procumbent Pearlwort
Sagittaria calycina,hooded arrowhead
Sagittaria engelmanniana,Engelmann's Arrowhead
Sagittaria graminea,Grass-leaved Arrowhead
Sagittaria latifolia,broadleaf arrowhead
Sagittaria platyphylla,Delta Arrowhead
Sagittaria rigida,sessile-fruited arrowhead
Sagittaria spongiosa,Spongy Arrowhead
Sagittaria subulata,Narrow-leaved Arrowhead
Sagittaria teres,Slender Arrowhead
Salicornia ambigua,perennial glasswort
Salicornia depressa,Virginia Glasswort
Salicornia perennis,Perennial Glasswort
Salix atrocinerea,Rusty Willow
Salix babylonica,weeping willow
Salix bebbiana,bebb's willow
Salix candida,Sage-leaf willow
Salix cinerea,Grey Willow
Salix discolor,pussy willow
Salix eriocephala,heart-leaved willow
Salix gracilistyla,rose-gold pussy willow
Salix humilis,Prairie Willow
Salix integra,dappled willow
Salix interior,interior sandbar willow
Salix lucida,shining willow
Salix nigra,black willow
Salix petiolaris,meadow willow
Salix purpurea,Purple Willow
Salix sericea,silky willow
Salpiglossis sinuata,painted-tongue
Salsola kali,saltwort
Salvia coccinea,Tropical sage
Salvia glutinosa,Sticky Sage
Salvia guaranitica,Anise-scented sage
Salvia hispanica,chia
Salvia reflexa,Mintweed
Sambucus canadensis,American black elderberry
Sambucus racemosa,red-berried elder
Samolus parviflorus,seaside brookweed
Sanguinaria canadensis,bloodroot
Sanguisorba canadensis,Canadian burnet
Sanicula canadensis,Black Snakeroot
Sanicula marilandica,Maryland Sanicle
Sanicula odorata,Clustered Sanicle
Sanicula trifoliata,large-fruited sanicle
Saponaria ocymoides,Rock Soapwort
Saponaria officinalis,common soapwort
Sarracenia purpurea,purple pitcher plant
Sassafras albidum,sassafras
Saururus cernuus,lizard's tail
Scapania nemorea,Grove Earwort
Sceptridium dissectum,Cutleaf Grapefern
Sceptridium oneidense,blunt-lobed grapefern
Schizachyrium scoparium,little bluestem
Schoenoplectiella mucronata,Bog Bulrush
Schoenoplectiella purshiana,Weak-stalked Bulrush
Schoenoplectus americanus,American three-square bulrush
Schoenoplectus pungens,three-square bulrush
Schoenoplectus subterminalis,water bulrush
Schoenoplectus tabernaemontani,soft-stemmed bulrush
Schoenoplectus torreyi,Torrey's bulrush
Scilla bifolia,Alpine Squill
Scilla forbesii,Forbes' Glory-of-the-snow
Scilla luciliae,Boissier's Glory-of-the-snow
Scilla mischtschenkoana,Mishchenko squill
Scilla siberica,Siberian squill
Scirpus atrovirens,dark green bulrush
Scirpus cyperinus,woolgrass
Scirpus expansus,Woodland Beakrush
Scirpus georgianus,Georgia Bulrush
Scirpus hattorianus,mosquito bulrush
Scirpus microcarpus,Panicled Bulrush
Scirpus pendulus,nodding bulrush
Scirpus polyphyllus,leafy bulrush
Scleranthus annuus,Annual Knawel
Scorzoneroides autumnalis,Autumn Hawkbit
Scrophularia lanceolata,lanceleaf figwort
Scrophularia marilandica,late figwort
Scrophularia nodosa,Common Figwort
Scutellaria galericulata,Marsh Skullcap
Scutellaria incana,Downy Skullcap
Scutellaria integrifolia,Helmet skullcap
Scutellaria lateriflora,side-flowering skullcap
Scutellaria strigillosa,
Secale cereale,rye
Securigera varia,purple crownvetch
Sedum acre,Biting Stonecrop
Sedum album,white stonecrop
Sedum dasyphyllum,thick-leaved stonecrop
Sedum makinoi,
Sedum sarmentosum,Stringy Stonecrop
Sedum sexangulare,Tasteless Stonecrop
Sedum ternatum,woodland stonecrop
Selaginella apoda,meadow spikemoss
Selaginella rupestris,rock spikemoss
Senecio vulgaris,common groundsel
Senega ambigua,ambiguous whorled milkwort
Senega aquilonia,cross polygala
Senega nuttallii,Nuttall's milkwort
Senega officinalis,Seneca snakeroot
Senega polygama,racemed milkwort
Senega sanguinea,field milkwort
Senega verticillata,Whorled Milkwort
Senna hebecarpa,American senna
Sericocarpus asteroides,toothed white-topped aster
Sericocarpus linifolius,Narrowleaf Whitetop Aster
Sesamum indicum,Sesame
Setaria faberi,giant foxtail
Setaria parviflora,knotroot bristlegrass
Setaria pumila,yellow foxtail
Setaria viridis,Green Bristle Grass
Sherardia arvensis,Field madder
Sibbaldiopsis tridentata,three-toothed cinquefoil
Sicyos angulatus,Oneseed Bur Cucumber
Silene antirrhina,sleepy catchfly
Silene caroliniana,Wild Pink
Silene chalcedonica,Maltese-cross
Silene coronaria,Rose campion
Silene dioica,red campion
Silene flos-cuculi,ragged-robin
Silene latifolia,white campion
Silene regia,royal catchfly
Silene stellata,starry campion
Silene vulgaris,bladder campion
Silphium asteriscus,Starry rosinweed
Silphium perfoliatum,cup plant
Silybum marianum,milk thistle
Sisymbrium altissimum,Tall Tumblemustard
Sisymbrium officinale,Hedge mustard
Sisyrinchium angustifolium,narrow-leaved blue-eyed grass
Sisyrinchium atlanticum,Eastern Blue-eyed Grass
Sisyrinchium montanum,strict blue-eyed grass
Sium suave,water parsnip
Smilax bona-nox,saw greenbrier
Smilax glauca,sawbrier
Smilax herbacea,smooth carrionflower
Smilax rotundifolia,roundleaf greenbrier
Solanum carolinense,Carolina horsenettle
Solanum dulcamara,bittersweet nightshade
Solanum emulans,eastern black nightshade
Solanum lycopersicum,tomato
Solanum melongena,eggplant
Solanum nigrum,black nightshade
Solanum rostratum,buffalo-bur
Solanum sarrachoides,Hairy Nightshade
Solanum tuberosum,potato
Solidago altissima,tall goldenrod
Solidago arguta,cut-leaf goldenrod
Solidago bicolor,silverrod
Solidago caesia,bluestem goldenrod
Solidago canadensis,Canada goldenrod
Solidago flexicaulis,broad-leaved goldenrod
Solidago gigantea,giant goldenrod
Solidago hispida,Hairy Goldenrod
Solidago juncea,early goldenrod
Solidago nemoralis,field goldenrod
Solidago odora,Sweet Goldenrod
Solidago patula,Swamp Goldenrod
Solidago puberula,Downy Goldenrod
Solidago rigida,stiff-leaved goldenrod
Solidago rugosa,common wrinkle-leaved goldenrod
Solidago sempervirens,northern seaside goldenrod
Solidago speciosa,showy goldenrod
Solidago squarrosa,squarrose goldenrod
Solidago uliginosa,bog goldenrod
Solidago ulmifolia,elm-leaved goldenrod
Sonchus arvensis,Perennial Sow Thistle
Sonchus asper,prickly sowthistle
Sonchus oleraceus,Common Sow-thistle
Sorbaria sorbifolia,Sorbaria
Sorbus americana,American mountain ash
Sorbus aucuparia,European mountain ash
Sorghastrum nutans,Indiangrass
Sorghum bicolor,Sorghums
Sorghum halepense,Johnson grass
Sparganium americanum,American bur-reed
Sparganium androcladum,Branching Bur-reed
Sparganium eurycarpum,big bur-reed
Spergula arvensis,Corn spurrey
Spergula pentandra,Wing-seeded Spurrey
Spergularia marina,Saltmarsh Sand Spurry
Spergularia rubra,Red Sand Spurrey
Sphagnum capillifolium,Northern Peatmoss
Sphagnum compactum,Low Peatmoss
Sphagnum cuspidatum,toothed peatmoss
Sphagnum fallax,Flat-top Bogmoss
Sphagnum fimbriatum,Fringed Bogmoss
Sphagnum girgensohnii,Girgensohn's Peatmoss
Sphagnum palustre,Prairie Peatmoss
Sphagnum recurvum,Recurved Peatmoss
Sphagnum russowii,Russow's Peatmoss
Sphagnum squarrosum,Crome Sphagnum
Sphagnum subsecundum,Orange Peatmoss
Spigelia marilandica,woodland pinkroot
Spinulum annotinum,interrupted clubmoss
Spiraea alba,white meadowsweet
Spiraea japonica,Japanese Spirea
Spiraea prunifolia,Bridal-wreath
Spiraea tomentosa,Steeplebush
Spiranthes arcisepala,Appalachian ladies’ tresses
Spiranthes cernua,nodding ladies' tresses
Spiranthes lacera,Slender Ladies' Tresses
Spiranthes lucida,Shining Ladies' Tresses
Spiranthes ochroleuca,yellow nodding ladies' tresses
Spiranthes tuberosa,Little Ladies' Tresses
Spiranthes vernalis,Spring Ladies' Tresses
Spirobassia hirsuta,Hairy Saltwort
Spirodela polyrhiza,greater duckweed
Sporobolus alterniflorus,Saltmarsh Cordgrass
Sporobolus cynosuroides,Big Cordgrass
Sporobolus michauxianus,prairie cordgrass
Sporobolus pumilus,Marsh Hay Cordgrass
Stachys hispida,marsh hedge nettle
Stachys hyssopifolia,Hyssop-leaved Hedge-nettle
Stachys palustris,Marsh Woundwort
Staphylea trifolia,American bladdernut
Stellaria aquatica,Water Chickweed
Stellaria graminea,lesser stitchwort
Stellaria longifolia,long-leaved starwort
Stellaria media,common chickweed
Stellaria nemorum,Wood Stitchwort
Stellaria pubera,star chickweed
Streptopus lanceolatus,rose twisted-stalk
Strophostyles helvola,trailing fuzzy-bean
Strophostyles leiosperma,slickseed fuzzybean
Stuckenia pectinata,Fennel-leaf Pondweed
Styrax japonicus,Japanese snowbell
Suaeda calceoliformis,Horned Seablite
Suaeda linearis,Annual Seepweed
Suaeda maritima,Herbaceous Seepweed
Symphoricarpos albus,Common Snowberry
Symphoricarpos orbiculatus,coralberry
Symphyotrichum cordifolium,Common Blue Wood Aster
Symphyotrichum dumosum,Bushy Aster
Symphyotrichum ericoides,white heath aster
Symphyotrichum firmum,shining aster
Symphyotrichum laeve,smooth blue aster
Symphyotrichum lanceolatum,panicled aster
Symphyotrichum lateriflorum,calico aster
Symphyotrichum novae-angliae,New England aster
Symphyotrichum novi-belgii,New York aster
Symphyotrichum oblongifolium,Aromatic Aster
Symphyotrichum patens,late purple aster
Symphyotrichum pilosum,hairy white oldfield aster
Symphyotrichum praealtum,willowleaf aster
Symphyotrichum prenanthoides,crookedstem aster
Symphyotrichum puniceum,swamp aster
Symphyotrichum racemosum,Small White Aster
Symphyotrichum subulatum,annual saltmarsh aster
Symphyotrichum tenuifolium,Perennial Saltmarsh Aster
Symphyotrichum undulatum,wavy-leaf aster
Symphyotrichum urophyllum,Arrow-leaved Aster
Symphytum caucasicum,Caucasian Comfrey
Symphytum officinale,common comfrey
Symplocarpus foetidus,Eastern Skunk Cabbage
Symplocos paniculata,sapphire-berry
Syringa reticulata,Japanese Tree Lilac
Tagetes erecta,Mexican Marigold
Tamarix parviflora,small-flowered tamarisk
Tamarix ramosissima,saltcedar
Tanacetum parthenium,feverfew
Tanacetum vulgare,tansy
Taraxacum erythrospermum,red-seeded dandelion
Taraxacum officinale,common dandelion
Taxodium distichum,baldcypress
Taxus baccata,common yew
Taxus canadensis,Canada yew
Taxus cuspidata,Japanese yew
Teesdalia nudicaulis,Shepherd's Cress
Tephrosia virginiana,goat's rue
Tetraphis pellucida,Tetraphis Moss
Teucrium canadense,American germander
Thalictrum aquilegiifolium,French meadow-rue
Thalictrum dioicum,early meadow-rue
Thalictrum pubescens,tall meadow-rue
Thalictrum rochebruneanum,Lavender Mist Meadowrue
Thalictrum thalictroides,rue anemone
Thaspium barbinode,Hairy-jointed Meadow-parsnip
Thelia asprella,Rough Thelia
Thelia hirtella,Common Thelia
Thelypteris palustris,marsh fern
Thermopsis villosa,Aaron's rod
Thlaspi arvense,field penny-cress
Thuidium delicatulum,delicate fern moss
Thuja occidentalis,northern whitecedar
Thunbergia alata,Black-eyed Susan vine
Thymus pulegioides,Large Thyme
Tiarella cordifolia,Heartleaf Foamflower
Tiarella stolonifera,Creeping Foamflower
Tilia americana,basswood
Tilia cordata,Little-leaf Linden
Tipularia discolor,crane-fly orchid
Tithonia rotundifolia,Red Sunflower
Tomostima reptans,Carolina draba
Toona sinensis,Tun tree
Toxicodendron radicans,eastern poison ivy
Toxicodendron rydbergii,western poison ivy
Toxicodendron vernix,poison sumac
Tradescantia bracteata,Longbract Spiderwort
Tradescantia ohiensis,Ohio spiderwort
Tradescantia virginiana,Virginia spiderwort
Tragopogon dubius,Yellow Salsify
Tragopogon pratensis,meadow salsify
Trapa natans,Water caltrop
Trichocolea tomentella,Handsome Woollywort
Trichophorum planifolium,Bashful Bulrush
Trichostema coeruleum,pennyroyal bluecurls
Trichostema dichotomum,Blue Curls
Tricyrtis hirta,Hairy Toad Lily
Tridens flavus,purpletop tridens
Trifolium arvense,rabbitfoot clover
Trifolium aureum,large hop clover
Trifolium campestre,hop trefoil
Trifolium dubium,Lesser hop trefoil
Trifolium hybridum,Alsike clover
Trifolium incarnatum,crimson clover
Trifolium pratense,Red Clover
Trifolium repens,white clover
Triglochin maritima,common arrowgrass
Trillium catesbaei,bashful wakerobin
Trillium cernuum,nodding trillium
Trillium cuneatum,Little Sweet Betsy
Trillium erectum,red trillium
Trillium grandiflorum,large white trillium
Trillium luteum,yellow wakerobin
Trillium recurvatum,prairie trillium
Trillium undulatum,painted trillium
Triodanis perfoliata,clasping Venus's looking glass
Triosteum aurantiacum,Orange-fruited Horse Gentian
Triosteum perfoliatum,Perfoliate Tinker's-weed
Triplasis purpurea,Purple Sandgrass
Tripleurospermum inodorum,scentless mayweed
Tripora divaricata,
Tripsacum dactyloides,eastern gamagrass
Triticum aestivum,Bread Wheat
Trollius europaeus,European Globeflower
Trollius laxus,Eastern Globeflower
Tropaeolum majus,garden nasturtium
Tsuga canadensis,eastern hemlock
Tulipa gesneriana,Garden Tulip
Tulipa kaufmanniana,Waterlily Tulip
Tulipa sylvestris,Wild Tulip
Turritis glabra,Tower Mustard
Tussilago farfara,colt's-foot
Typha angustifolia,narrow-leaved cattail
Typha latifolia,broadleaf cattail
Ulmus americana,American elm
Ulmus glabra,Wych Elm
Ulmus laevis,Fluttering Elm
Ulmus parvifolia,Chinese elm
Ulmus pumila,Siberian elm
Ulmus rubra,slippery elm
Ulota crispa,crisped pincushion
Ulota crispula,
Ulota hutchinsiae,Hutchins' Pincushion
Urtica dioica,great stinging nettle
Urtica gracilis,slender stinging nettle
Utricularia cornuta,Horned Bladderwort
Utricularia gibba,humped bladderwort
Utricularia inflata,swollen bladderwort
Utricularia intermedia,intermediate bladderwort
Utricularia macrorhiza,common bladderwort
Utricularia minor,Lesser Bladderwort
Utricularia purpurea,Purple Bladderwort
Utricularia radiata,Small Swollen Bladderwort
Uvularia grandiflora,largeflower bellwort
Uvularia perfoliata,perfoliate bellwort
Uvularia sessilifolia,sessile bellwort
Vaccinium angustifolium,lowbush blueberry
Vaccinium corymbosum,Northern highbush blueberry
Vaccinium fuscatum,Black Highbush Blueberry
Vaccinium macrocarpon,American Cranberry
